image_name,region,image_path,gt_fg_ratio,lora_mIoU,hl_mIoU,lora_F1,hl_F1,lora_Boundary_IoU,hl_Boundary_IoU,lora_fp_ratio,hl_fp_ratio,lora_fn_ratio,hl_fn_ratio,delta_mIoU,delta_F1,delta_Boundary_IoU,delta_fp_ratio,delta_fn_ratio,tag
wuxi_1006,wuxi,/path/to/project/data/raw/processed_slim/target_whu/test/images/wuxi_1006.tif,0.095916748046875,0.6949964022812448,0.8468766901032758,0.8200564925631948,0.9170906694975711,0.09965684873391724,0.2586424715831096,0.04192352294921875,0.016937255859375,0.000118255615234375,0.00034332275390625,0.151880287822031,0.09703417693437633,0.15898562284919238,0.02498626708984375,-0.000225067138671875,boundary_gain
kitsap_3167,kitsap,/path/to/project/data/raw/processed_slim/target_whu/test/images/kitsap_3167.tif,0.027309417724609375,0.790606871934509,0.8538032945754142,0.8830602454683006,0.9211368833719625,0.30142857144282803,0.45699554723559893,0.006885528564453125,0.004184722900390625,0.000274658203125,0.00041961669921875,0.06319642264090519,0.03807663790366189,0.1555669757927709,0.0027008056640625,-0.00014495849609375,boundary_gain
dunedin_184,dunedin,/path/to/project/data/raw/processed_slim/target_whu/test/images/dunedin_184.tif,0.055637359619140625,0.8669517557076013,0.9042059008166716,0.9287350388749597,0.949693413331741,0.3885480572686452,0.531563612827265,0.00769805908203125,0.005130767822265625,0.000728607177734375,0.000690460205078125,0.037254145109070325,0.02095837445678128,0.14301555555861983,0.002567291259765625,3.814697265625e-05,boundary_gain
kitsap_1572,kitsap,/path/to/project/data/raw/processed_slim/target_whu/test/images/kitsap_1572.tif,0.003322601318359375,0.6585365853966995,0.7380000000262,0.7941176470700372,0.8492520138176495,0.3500455789106613,0.48798328114023165,0.0009002685546875,0.000492095947265625,0.00054168701171875,0.000507354736328125,0.07946341462950057,0.055134366747612296,0.13793770222957036,0.000408172607421875,3.4332275390625e-05,boundary_gain
potsdam_700,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_700.tif,0.01897430419921875,0.8552702460072675,0.8988422850654992,0.9219899341858112,0.9467266366821916,0.1040204212441595,0.2370820669272734,0.002269744873046875,0.001125335693359375,0.000804901123046875,0.00090789794921875,0.043572039058231704,0.02473670249638038,0.1330616456831139,0.0011444091796875,-0.000102996826171875,boundary_gain
dunedin_673,dunedin,/path/to/project/data/raw/processed_slim/target_whu/test/images/dunedin_673.tif,0.054950714111328125,0.8625305623480285,0.9003215434090012,0.926192117095185,0.947546531303054,0.4004676995118318,0.5317104420318431,0.007457733154296875,0.004367828369140625,0.00112152099609375,0.001544952392578125,0.03779098106097267,0.021354414207868988,0.13124274252001134,0.00308990478515625,-0.000423431396484375,boundary_gain
dunedin_189,dunedin,/path/to/project/data/raw/processed_slim/target_whu/test/images/dunedin_189.tif,0.032283782958984375,0.7996091841739168,0.8480602321463132,0.8886475921608739,0.9177841905736559,0.4470975121611796,0.5747053201724323,0.0067596435546875,0.0041961669921875,0.001064300537109375,0.001346588134765625,0.04845104797239641,0.029136598412782044,0.12760780801125265,0.0025634765625,-0.00028228759765625,boundary_gain
kitsap_1363,kitsap,/path/to/project/data/raw/processed_slim/target_whu/test/images/kitsap_1363.tif,0.03516387939453125,0.8117066934543722,0.8612637362650974,0.8960685483876206,0.925461254612939,0.4883810010279829,0.6157711095657254,0.006610870361328125,0.00371551513671875,0.001255035400390625,0.001678466796875,0.04955704281072526,0.02939270622531842,0.12739010853774257,0.002895355224609375,-0.000423431396484375,boundary_gain
dunedin_1183,dunedin,/path/to/project/data/raw/processed_slim/target_whu/test/images/dunedin_1183.tif,0.14141082763671875,0.8685988958693399,0.8987372990038998,0.9296793418741185,0.9466683984933801,0.3111850865558509,0.4371836856249093,0.01889801025390625,0.01326751708984375,0.002166748046875,0.0023956298828125,0.030138403134559844,0.016989056619261644,0.12599859906905836,0.0056304931640625,-0.0002288818359375,boundary_gain
dunedin_390,dunedin,/path/to/project/data/raw/processed_slim/target_whu/test/images/dunedin_390.tif,0.07497406005859375,0.8403176971352831,0.8800498637985131,0.913231121390798,0.9361984282909229,0.44861754835025874,0.5718173836736451,0.011959075927734375,0.007648468017578125,0.001922607421875,0.002262115478515625,0.039732166663229984,0.02296730690012494,0.12319983532338635,0.00431060791015625,-0.000339508056640625,boundary_gain
